GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
0400000US09,09,Connecticut,44153,1016
0500000US09001,09001,"Fairfield County, Connecticut",51265,1533
0500000US09003,09003,"Hartford County, Connecticut",37786,1705
0500000US09005,09005,"Litchfield County, Connecticut",58636,6531
0500000US09007,09007,"Middlesex County, Connecticut",71131,13468
0500000US09009,09009,"New Haven County, Connecticut",41436,1303
0500000US09011,09011,"New London County, Connecticut",47102,4581
0500000US09013,09013,"Tolland County, Connecticut",65341,22337
0500000US09015,09015,"Windham County, Connecticut",33419,4846
