GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US09,09,Connecticut,37379,1390
0500000US09001,09001,"Fairfield County, Connecticut",47094,2195
0500000US09003,09003,"Hartford County, Connecticut",33287,2471
0500000US09005,09005,"Litchfield County, Connecticut",48750,13064
0500000US09007,09007,"Middlesex County, Connecticut",61815,15204
0500000US09009,09009,"New Haven County, Connecticut",34438,2996
0500000US09011,09011,"New London County, Connecticut",29850,5261
0500000US09013,09013,"Tolland County, Connecticut",41931,11928
0500000US09015,09015,"Windham County, Connecticut",32910,21659
